global_step,episode,episode_return,episode_length,epsilon,loss,mean_q_value,dictionary_entries,dictionary_min_entries,q_values
9000,18,-500.0,500,0.8860126666666667,6.963373184204102,-67.19782257080078,9000,2941,"[-66.95074462890625, -65.09911346435547, -68.63189697265625]"
9500,19,-500.0,500,0.8796793333333334,7.577731132507324,-67.24713134765625,9500,3103,"[-65.71212768554688, -69.93284606933594, -73.1490478515625]"
10000,20,-500.0,500,0.873346,7.346281051635742,-66.96444702148438,10000,3280,"[-67.89799499511719, -61.85067367553711, -69.23233795166016]"
10500,21,-500.0,500,0.8670126666666667,7.175227642059326,-67.41009521484375,10500,3444,"[-67.73712158203125, -68.32919311523438, -62.69241714477539]"
11000,22,-500.0,500,0.8606793333333334,6.554686546325684,-67.29186248779297,11000,3606,"[-69.1003189086914, -58.294044494628906, -59.738121032714844]"
11500,23,-500.0,500,0.854346,8.121075630187988,-67.40699005126953,11500,3773,"[-76.48914337158203, -70.56840515136719, -70.75025939941406]"
12000,24,-500.0,500,0.8480126666666666,7.701050758361816,-67.47145080566406,12000,3958,"[-54.296234130859375, -48.20452880859375, -62.05078887939453]"
12500,25,-500.0,500,0.8416793333333333,6.282939910888672,-68.42234802246094,12500,4112,"[-68.9267578125, -68.16316986083984, -57.420623779296875]"
13000,26,-500.0,500,0.835346,7.050698280334473,-68.28268432617188,13000,4284,"[-62.25102996826172, -64.67549133300781, -68.26370239257812]"
13500,27,-500.0,500,0.8290126666666666,6.105200290679932,-70.11800384521484,13500,4443,"[-66.64610290527344, -66.62654113769531, -73.17420196533203]"
14000,28,-500.0,500,0.8226793333333333,7.967038631439209,-69.40040588378906,14000,4630,"[-58.76985549926758, -72.14324951171875, -48.49047088623047]"
14500,29,-500.0,500,0.816346,6.591753005981445,-69.00942993164062,14500,4793,"[-43.54450607299805, -47.87145233154297, -46.89790344238281]"
15000,30,-500.0,500,0.8100126666666667,7.489736080169678,-67.79458618164062,15000,4953,"[-74.68617248535156, -71.63430786132812, -63.60736846923828]"
15500,31,-500.0,500,0.8036793333333333,7.5601396560668945,-68.93655395507812,15500,5135,"[-75.92634582519531, -68.18701171875, -74.956787109375]"
16000,32,-500.0,500,0.797346,6.392482280731201,-69.62712097167969,16000,5305,"[-56.0670166015625, -69.24466705322266, -69.238525390625]"
16500,33,-500.0,500,0.7910126666666667,6.801571846008301,-69.95454406738281,16500,5482,"[-65.4769058227539, -54.4804573059082, -64.99609375]"
17000,34,-500.0,500,0.7846793333333333,7.465122222900391,-67.68782043457031,17000,5642,"[-67.8817138671875, -63.16123580932617, -57.75749206542969]"
17500,35,-500.0,500,0.778346,7.941130638122559,-68.1168441772461,17500,5801,"[-65.97611999511719, -75.40872955322266, -70.38076782226562]"
18000,36,-500.0,500,0.7720126666666667,7.147320747375488,-69.60302734375,18000,5970,"[-57.67347717285156, -63.04974365234375, -53.022186279296875]"
18500,37,-500.0,500,0.7656793333333334,6.84079647064209,-69.42767333984375,18500,6126,"[-73.41387176513672, -72.58262634277344, -75.89279174804688]"
19000,38,-500.0,500,0.759346,6.234143257141113,-70.54049682617188,19000,6301,"[-76.09012603759766, -76.94833374023438, -77.97500610351562]"
19500,39,-500.0,500,0.7530126666666667,7.878577709197998,-69.45136260986328,19500,6477,"[-77.18437194824219, -70.33851623535156, -77.97557067871094]"
20000,40,-500.0,500,0.7466793333333333,6.796334266662598,-71.03347778320312,20000,6648,"[-55.67267990112305, -46.21040344238281, -56.888057708740234]"
20500,41,-500.0,500,0.740346,5.92897891998291,-71.42460632324219,20500,6804,"[-62.509578704833984, -48.76592254638672, -69.47822570800781]"
21000,42,-500.0,500,0.7340126666666666,6.117464065551758,-70.49655151367188,21000,6964,"[-57.1303825378418, -43.66156768798828, -48.76739501953125]"
21500,43,-500.0,500,0.7276793333333333,6.4078168869018555,-70.94140625,21500,7145,"[-70.79740142822266, -56.41116714477539, -66.4187240600586]"
