dataset,policy,adapter_mode,seed,device,initial_cases,retained_cases,target_capacity,pre_maint_acc,post_retrieval_acc,post_adapted_acc,acc_delta,total_flips,correct_flips,harmful_flips,net_flip_benefit,adapter_train_loss
wine,bias_only,none,42,cpu,124,62,62,0.9629629850387573,0.9629629850387573,0.9629629850387573,0.0,0,0,0,0,0.0
wine,bias_only,none,43,cpu,124,62,62,0.9259259104728699,0.8888888955116272,0.8888888955116272,0.0,0,0,0,0,0.0
wine,bias_only,none,44,cpu,124,62,62,0.9629629850387573,0.9444444179534912,0.9444444179534912,0.0,0,0,0,0,0.0
wine,bias_only,nominal_residual_scores,42,cpu,124,62,62,0.9629629850387573,0.9629629850387573,0.9444444179534912,-0.018518567085266113,1,0,1,-1,0.521416962146759
wine,bias_only,nominal_residual_scores,43,cpu,124,62,62,0.9259259104728699,0.8888888955116272,0.8888888955116272,0.0,0,0,0,0,0.5147693157196045
wine,bias_only,nominal_residual_scores,44,cpu,124,62,62,0.9629629850387573,0.9444444179534912,0.9814814925193787,0.03703707456588745,2,2,0,2,0.5228481292724609
wine,bias_only,logit_residual,42,cpu,124,62,62,0.9629629850387573,0.9629629850387573,0.9444444179534912,-0.018518567085266113,1,0,1,-1,0.6171537041664124
wine,bias_only,logit_residual,43,cpu,124,62,62,0.9259259104728699,0.8888888955116272,0.8888888955116272,0.0,0,0,0,0,0.6114884614944458
wine,bias_only,logit_residual,44,cpu,124,62,62,0.9629629850387573,0.9444444179534912,0.9814814925193787,0.03703707456588745,2,2,0,2,0.6346696019172668
wine,provenance_only,none,42,cpu,124,62,62,0.9629629850387573,0.9444444179534912,0.9444444179534912,0.0,0,0,0,0,0.0
wine,provenance_only,none,43,cpu,124,62,62,0.9259259104728699,0.9259259104728699,0.9259259104728699,0.0,0,0,0,0,0.0
wine,provenance_only,none,44,cpu,124,62,62,0.9629629850387573,0.9814814925193787,0.9814814925193787,0.0,0,0,0,0,0.0
wine,provenance_only,nominal_residual_scores,42,cpu,124,62,62,0.9629629850387573,0.9444444179534912,0.9444444179534912,0.0,0,0,0,0,0.47968369722366333
wine,provenance_only,nominal_residual_scores,43,cpu,124,62,62,0.9259259104728699,0.9259259104728699,0.9259259104728699,0.0,0,0,0,0,0.4861990511417389
wine,provenance_only,nominal_residual_scores,44,cpu,124,62,62,0.9629629850387573,0.9814814925193787,0.9814814925193787,0.0,2,1,1,0,0.46512898802757263
wine,provenance_only,logit_residual,42,cpu,124,62,62,0.9629629850387573,0.9444444179534912,0.9444444179534912,0.0,0,0,0,0,0.5779076814651489
wine,provenance_only,logit_residual,43,cpu,124,62,62,0.9259259104728699,0.9259259104728699,0.9259259104728699,0.0,0,0,0,0,0.581499457359314
wine,provenance_only,logit_residual,44,cpu,124,62,62,0.9629629850387573,0.9814814925193787,0.9629629850387573,-0.018518507480621338,1,0,1,-1,0.5804184675216675
wine,trustworthiness_only,none,42,cpu,124,62,62,0.9629629850387573,0.9629629850387573,0.9629629850387573,0.0,0,0,0,0,0.0
wine,trustworthiness_only,none,43,cpu,124,62,62,0.9259259104728699,0.9259259104728699,0.9259259104728699,0.0,0,0,0,0,0.0
wine,trustworthiness_only,none,44,cpu,124,62,62,0.9629629850387573,0.9444444179534912,0.9444444179534912,0.0,0,0,0,0,0.0
wine,trustworthiness_only,nominal_residual_scores,42,cpu,124,62,62,0.9629629850387573,0.9629629850387573,0.9629629850387573,0.0,0,0,0,0,0.5108916163444519
wine,trustworthiness_only,nominal_residual_scores,43,cpu,124,62,62,0.9259259104728699,0.9259259104728699,0.9444444179534912,0.018518507480621338,1,1,0,1,0.5349034070968628
wine,trustworthiness_only,nominal_residual_scores,44,cpu,124,62,62,0.9629629850387573,0.9444444179534912,1.0,0.05555558204650879,3,3,0,3,0.5208017826080322
