dataset,policy,adapter_mode,seed,capacity_fraction,initial_cases,retained_cases,pre_maint_acc,post_retrieval_acc,post_adapted_acc,acc_delta,f1_retrieval,f1_adapted,f1_delta,ece_retrieval,ece_adapted,total_flips,correct_flips,harmful_flips,net_flip_benefit,alpha,smoothing,trust_mode,protect_cohorts,adapter_train_loss
synthetic,provenance_bias_coverage,logit_residual,42,0.5,420,210,0.8333333134651184,0.8222222328186035,0.8166666626930237,-0.005555570125579834,0.8143371212121212,0.8088871912401324,-0.005449929971988787,0.1280182808637619,0.09536085840728546,3,1,2,-1,0.5,1.0,geometric,True,0.9032491147518158
synthetic,provenance_bias_coverage,logit_residual,43,0.5,420,210,0.8333333134651184,0.8055555820465088,0.8333333134651184,0.02777773141860962,0.8056117409278967,0.8324220885729908,0.026810347645094157,0.1018708881404665,0.11625822732845943,7,6,1,5,0.5,1.0,geometric,True,0.8476947546005249
synthetic,provenance_bias_coverage,logit_residual,44,0.5,420,210,0.9111111164093018,0.8500000238418579,0.8666666746139526,0.016666650772094727,0.8496035173483744,0.8659964766800844,0.016392959331710033,0.17047024915615716,0.17108699017100862,9,6,3,3,0.5,1.0,geometric,True,0.9040293097496033
synthetic,provenance_bias_coverage,logit_residual,45,0.5,420,210,0.8222222328186035,0.7833333611488342,0.800000011920929,0.016666650772094727,0.7832356688688171,0.7999693354148082,0.016733666545991066,0.11727340006166036,0.1327893305155966,11,7,4,3,0.5,1.0,geometric,True,0.91801717877388
synthetic,provenance_bias_coverage,logit_residual,46,0.5,420,210,0.8277778029441833,0.8444444537162781,0.8166666626930237,-0.027777791023254395,0.8435674605804979,0.815686274509804,-0.027881186070693897,0.18795901222361458,0.13925737722052467,12,2,7,-5,0.5,1.0,geometric,True,0.9602288901805878
wine,provenance_bias_coverage,none,42,0.5,124,62,0.9629629850387573,0.9629629850387573,0.9629629850387573,0.0,0.9619047619047619,0.9619047619047619,0.0,0.06322726220996291,0.06322726220996291,0,0,0,0,0.5,1.0,geometric,True,0.0
wine,provenance_bias_coverage,none,43,0.5,124,62,0.9259259104728699,0.9259259104728699,0.9259259104728699,0.0,0.9265350877192983,0.9265350877192983,0.0,0.025286765010268598,0.025286765010268598,0,0,0,0,0.5,1.0,geometric,True,0.0
wine,provenance_bias_coverage,none,44,0.5,124,62,0.9629629850387573,0.9444444179534912,0.9444444179534912,0.0,0.9443785248663298,0.9443785248663298,0.0,0.07544153045724938,0.07544153045724938,0,0,0,0,0.5,1.0,geometric,True,0.0
wine,provenance_bias_coverage,none,45,0.5,124,62,0.9444444179534912,0.9629629850387573,0.9629629850387573,0.0,0.9657894736842105,0.9657894736842105,0.0,0.039542763321488025,0.039542763321488025,0,0,0,0,0.5,1.0,geometric,True,0.0
wine,provenance_bias_coverage,none,46,0.5,124,62,0.9074074029922485,0.9444444179534912,0.9444444179534912,0.0,0.944516632016632,0.944516632016632,0.0,0.03193881335081877,0.03193881335081877,0,0,0,0,0.5,1.0,geometric,True,0.0
wine,provenance_bias_coverage,nominal_residual_scores,42,0.5,124,62,0.9629629850387573,0.9629629850387573,0.9629629850387573,0.0,0.9619047619047619,0.9619047619047619,0.0,0.06322726220996291,0.37143920472374664,0,0,0,0,0.5,1.0,geometric,True,0.4873434603214264
wine,provenance_bias_coverage,nominal_residual_scores,43,0.5,124,62,0.9259259104728699,0.9259259104728699,0.9444444179534912,0.018518507480621338,0.9265350877192983,0.944516632016632,0.017981544297333785,0.025286765010268598,0.339996608319106,1,1,0,1,0.5,1.0,geometric,True,0.5139973163604736
wine,provenance_bias_coverage,nominal_residual_scores,44,0.5,124,62,0.9629629850387573,0.9444444179534912,1.0,0.05555558204650879,0.9443785248663298,1.0,0.05562147513367022,0.07544153045724938,0.3686411397324668,3,3,0,3,0.5,1.0,geometric,True,0.5042458772659302
