dataset,policy,adapter_mode,seed,capacity_fraction,initial_cases,retained_cases,pre_maint_acc,post_retrieval_acc,post_adapted_acc,acc_delta,f1_retrieval,f1_adapted,f1_delta,ece_retrieval,ece_adapted,total_flips,correct_flips,harmful_flips,net_flip_benefit,alpha,smoothing,trust_mode,protect_cohorts,adapter_train_loss
synthetic,stratified,none,45,0.5,420,210,0.8222222328186035,0.7611111402511597,0.7611111402511597,0.0,0.7589368175678247,0.7589368175678247,0.0,0.11190935754113729,0.11190935754113729,0,0,0,0,0.5,1.0,geometric,True,0.0
synthetic,stratified,none,46,0.5,420,210,0.8277778029441833,0.7611111402511597,0.7611111402511597,0.0,0.7601003775755384,0.7601003775755384,0.0,0.12900196065505345,0.12900196065505345,0,0,0,0,0.5,1.0,geometric,True,0.0
synthetic,provenance_bias_coverage,none,42,0.75,420,315,0.8333333134651184,0.8500000238418579,0.8500000238418579,0.0,0.846905573025856,0.846905573025856,0.0,0.12128561486800513,0.12128561486800513,0,0,0,0,0.5,1.0,geometric,True,0.0
synthetic,provenance_bias_coverage,none,43,0.75,420,315,0.8333333134651184,0.8111110925674438,0.8111110925674438,0.0,0.8097612065354002,0.8097612065354002,0.0,0.11002359373701942,0.11002359373701942,0,0,0,0,0.5,1.0,geometric,True,0.0
synthetic,provenance_bias_coverage,none,44,0.75,420,315,0.9111111164093018,0.9055555462837219,0.9055555462837219,0.0,0.9053443618042504,0.9053443618042504,0.0,0.20401780704657238,0.20401780704657238,0,0,0,0,0.5,1.0,geometric,True,0.0
synthetic,provenance_bias_coverage,none,45,0.75,420,315,0.8222222328186035,0.7944444417953491,0.7944444417953491,0.0,0.7931623931623931,0.7931623931623931,0.0,0.10366595817936793,0.10366595817936793,0,0,0,0,0.5,1.0,geometric,True,0.0
synthetic,provenance_bias_coverage,none,46,0.75,420,315,0.8277778029441833,0.8333333134651184,0.8333333134651184,0.0,0.8333993342449224,0.8333993342449224,0.0,0.1401298599110709,0.1401298599110709,0,0,0,0,0.5,1.0,geometric,True,0.0
synthetic,bias_only,none,42,0.75,420,315,0.8333333134651184,0.8500000238418579,0.8500000238418579,0.0,0.8480798771121352,0.8480798771121352,0.0,0.12945958309703404,0.12945958309703404,0,0,0,0,0.5,1.0,geometric,True,0.0
synthetic,bias_only,none,43,0.75,420,315,0.8333333134651184,0.8166666626930237,0.8166666626930237,0.0,0.8150814825832722,0.8150814825832722,0.0,0.09877997504340279,0.09877997504340279,0,0,0,0,0.5,1.0,geometric,True,0.0
synthetic,bias_only,none,44,0.75,420,315,0.9111111164093018,0.8888888955116272,0.8888888955116272,0.0,0.8886439821830372,0.8886439821830372,0.0,0.18721152626805837,0.18721152626805837,0,0,0,0,0.5,1.0,geometric,True,0.0
synthetic,bias_only,none,45,0.75,420,315,0.8222222328186035,0.7944444417953491,0.7944444417953491,0.0,0.7926623048692526,0.7926623048692526,0.0,0.10313437547948627,0.10313437547948627,0,0,0,0,0.5,1.0,geometric,True,0.0
synthetic,bias_only,none,46,0.75,420,315,0.8277778029441833,0.8333333134651184,0.8333333134651184,0.0,0.8331844199357811,0.8331844199357811,0.0,0.14102823403146528,0.14102823403146528,0,0,0,0,0.5,1.0,geometric,True,0.0
synthetic,stratified,none,42,0.75,420,315,0.8333333134651184,0.8333333134651184,0.8333333134651184,0.0,0.8308318399044206,0.8308318399044206,0.0,0.09800764603747261,0.09800764603747261,0,0,0,0,0.5,1.0,geometric,True,0.0
synthetic,stratified,none,43,0.75,420,315,0.8333333134651184,0.8277778029441833,0.8277778029441833,0.0,0.8260734245388978,0.8260734245388978,0.0,0.09647792279720306,0.09647792279720306,0,0,0,0,0.5,1.0,geometric,True,0.0
synthetic,stratified,none,44,0.75,420,315,0.9111111164093018,0.894444465637207,0.894444465637207,0.0,0.8938616868293762,0.8938616868293762,0.0,0.17502130170663197,0.17502130170663197,0,0,0,0,0.5,1.0,geometric,True,0.0
synthetic,stratified,none,45,0.75,420,315,0.8222222328186035,0.8111110925674438,0.8111110925674438,0.0,0.81,0.81,0.0,0.1268775850534439,0.1268775850534439,0,0,0,0,0.5,1.0,geometric,True,0.0
synthetic,stratified,none,46,0.75,420,315,0.8277778029441833,0.8277778029441833,0.8277778029441833,0.0,0.8282877346943204,0.8282877346943204,0.0,0.13397949536641438,0.13397949536641438,0,0,0,0,0.5,1.0,geometric,True,0.0
synthetic,provenance_bias_coverage,none,42,1.0,420,420,0.8333333134651184,0.8333333134651184,0.8333333134651184,0.0,0.8305454545454545,0.8305454545454545,0.0,0.08386770685513815,0.08386770685513815,0,0,0,0,0.5,1.0,geometric,True,0.0
synthetic,provenance_bias_coverage,none,43,1.0,420,420,0.8333333134651184,0.8333333134651184,0.8333333134651184,0.0,0.8329302719233302,0.8329302719233302,0.0,0.10042130119270748,0.10042130119270748,0,0,0,0,0.5,1.0,geometric,True,0.0
synthetic,provenance_bias_coverage,none,44,1.0,420,420,0.9111111164093018,0.9111111164093018,0.9111111164093018,0.0,0.9107049164493383,0.9107049164493383,0.0,0.17647466129726833,0.17647466129726833,0,0,0,0,0.5,1.0,geometric,True,0.0
synthetic,provenance_bias_coverage,none,45,1.0,420,420,0.8222222328186035,0.8222222328186035,0.8222222328186035,0.0,0.8226239031022123,0.8226239031022123,0.0,0.1049107743634118,0.1049107743634118,0,0,0,0,0.5,1.0,geometric,True,0.0
synthetic,provenance_bias_coverage,none,46,1.0,420,420,0.8277778029441833,0.8277778029441833,0.8277778029441833,0.0,0.8288401535040927,0.8288401535040927,0.0,0.12783047623104518,0.12783047623104518,0,0,0,0,0.5,1.0,geometric,True,0.0
synthetic,bias_only,none,42,1.0,420,420,0.8333333134651184,0.8333333134651184,0.8333333134651184,0.0,0.8305454545454545,0.8305454545454545,0.0,0.08386770685513815,0.08386770685513815,0,0,0,0,0.5,1.0,geometric,True,0.0
synthetic,bias_only,none,43,1.0,420,420,0.8333333134651184,0.8333333134651184,0.8333333134651184,0.0,0.8329302719233302,0.8329302719233302,0.0,0.10042130119270748,0.10042130119270748,0,0,0,0,0.5,1.0,geometric,True,0.0
synthetic,bias_only,none,44,1.0,420,420,0.9111111164093018,0.9111111164093018,0.9111111164093018,0.0,0.9107049164493383,0.9107049164493383,0.0,0.17647466129726833,0.17647466129726833,0,0,0,0,0.5,1.0,geometric,True,0.0
synthetic,bias_only,none,45,1.0,420,420,0.8222222328186035,0.8222222328186035,0.8222222328186035,0.0,0.8226239031022123,0.8226239031022123,0.0,0.1049107743634118,0.1049107743634118,0,0,0,0,0.5,1.0,geometric,True,0.0
synthetic,bias_only,none,46,1.0,420,420,0.8277778029441833,0.8277778029441833,0.8277778029441833,0.0,0.8288401535040927,0.8288401535040927,0.0,0.12783047623104518,0.12783047623104518,0,0,0,0,0.5,1.0,geometric,True,0.0
synthetic,stratified,none,42,1.0,420,420,0.8333333134651184,0.8333333134651184,0.8333333134651184,0.0,0.8305454545454545,0.8305454545454545,0.0,0.08386770685513815,0.08386770685513815,0,0,0,0,0.5,1.0,geometric,True,0.0
synthetic,stratified,none,43,1.0,420,420,0.8333333134651184,0.8333333134651184,0.8333333134651184,0.0,0.8329302719233302,0.8329302719233302,0.0,0.10042130119270748,0.10042130119270748,0,0,0,0,0.5,1.0,geometric,True,0.0
synthetic,stratified,none,44,1.0,420,420,0.9111111164093018,0.9111111164093018,0.9111111164093018,0.0,0.9107049164493383,0.9107049164493383,0.0,0.17647466129726833,0.17647466129726833,0,0,0,0,0.5,1.0,geometric,True,0.0
