dataset,policy,adapter_mode,seed,capacity_fraction,initial_cases,retained_cases,pre_maint_acc,post_retrieval_acc,post_adapted_acc,acc_delta,f1_retrieval,f1_adapted,f1_delta,ece_retrieval,ece_adapted,total_flips,correct_flips,harmful_flips,net_flip_benefit,alpha,smoothing,trust_mode,protect_cohorts,adapter_train_loss,ablation_type,ablation_var
synthetic,provenance_bias_coverage,none,42,0.5,420,210,0.8333333134651184,0.8055555820465088,0.8055555820465088,0.0,0.7985953996983408,0.7985953996983408,0.0,0.12293043716086281,0.12293043716086281,0,0,0,0,0.0,1.0,geometric,True,0.0,alpha_weight,alpha=0.0
synthetic,provenance_bias_coverage,none,43,0.5,420,210,0.8333333134651184,0.7833333611488342,0.7833333611488342,0.0,0.783356299848657,0.783356299848657,0.0,0.0900495623548826,0.0900495623548826,0,0,0,0,0.0,1.0,geometric,True,0.0,alpha_weight,alpha=0.0
synthetic,provenance_bias_coverage,none,44,0.5,420,210,0.9111111164093018,0.8722222447395325,0.8722222447395325,0.0,0.8719706407842001,0.8719706407842001,0.0,0.20184491939014856,0.20184491939014856,0,0,0,0,0.0,1.0,geometric,True,0.0,alpha_weight,alpha=0.0
synthetic,provenance_bias_coverage,none,45,0.5,420,210,0.8222222328186035,0.7888888716697693,0.7888888716697693,0.0,0.7885095646353081,0.7885095646353081,0.0,0.13344570497671762,0.13344570497671762,0,0,0,0,0.0,1.0,geometric,True,0.0,alpha_weight,alpha=0.0
synthetic,provenance_bias_coverage,none,46,0.5,420,210,0.8277778029441833,0.8500000238418579,0.8500000238418579,0.0,0.8495454080636614,0.8495454080636614,0.0,0.20008600486649403,0.20008600486649403,0,0,0,0,0.0,1.0,geometric,True,0.0,alpha_weight,alpha=0.0
synthetic,provenance_bias_coverage,none,42,0.5,420,210,0.8333333134651184,0.8111110925674438,0.8111110925674438,0.0,0.8037112718058393,0.8037112718058393,0.0,0.1251678824424744,0.1251678824424744,0,0,0,0,0.25,1.0,geometric,True,0.0,alpha_weight,alpha=0.25
synthetic,provenance_bias_coverage,none,43,0.5,420,210,0.8333333134651184,0.7944444417953491,0.7944444417953491,0.0,0.7944661178640313,0.7944661178640313,0.0,0.09997579935524202,0.09997579935524202,0,0,0,0,0.25,1.0,geometric,True,0.0,alpha_weight,alpha=0.25
synthetic,provenance_bias_coverage,none,44,0.5,420,210,0.9111111164093018,0.855555534362793,0.855555534362793,0.0,0.855059185025245,0.855059185025245,0.0,0.1869797729783588,0.1869797729783588,0,0,0,0,0.25,1.0,geometric,True,0.0,alpha_weight,alpha=0.25
synthetic,provenance_bias_coverage,none,45,0.5,420,210,0.8222222328186035,0.7888888716697693,0.7888888716697693,0.0,0.7886449409000008,0.7886449409000008,0.0,0.12787498202588823,0.12787498202588823,0,0,0,0,0.25,1.0,geometric,True,0.0,alpha_weight,alpha=0.25
synthetic,provenance_bias_coverage,none,46,0.5,420,210,0.8277778029441833,0.8500000238418579,0.8500000238418579,0.0,0.8495454080636614,0.8495454080636614,0.0,0.19896846413612368,0.19896846413612368,0,0,0,0,0.25,1.0,geometric,True,0.0,alpha_weight,alpha=0.25
synthetic,provenance_bias_coverage,none,42,0.5,420,210,0.8333333134651184,0.8222222328186035,0.8222222328186035,0.0,0.8143371212121212,0.8143371212121212,0.0,0.1280182808637619,0.1280182808637619,0,0,0,0,0.5,1.0,geometric,True,0.0,alpha_weight,alpha=0.5
synthetic,provenance_bias_coverage,none,43,0.5,420,210,0.8333333134651184,0.8055555820465088,0.8055555820465088,0.0,0.8056117409278967,0.8056117409278967,0.0,0.1018708881404665,0.1018708881404665,0,0,0,0,0.5,1.0,geometric,True,0.0,alpha_weight,alpha=0.5
synthetic,provenance_bias_coverage,none,44,0.5,420,210,0.9111111164093018,0.8500000238418579,0.8500000238418579,0.0,0.8496035173483744,0.8496035173483744,0.0,0.17047024915615716,0.17047024915615716,0,0,0,0,0.5,1.0,geometric,True,0.0,alpha_weight,alpha=0.5
synthetic,provenance_bias_coverage,none,45,0.5,420,210,0.8222222328186035,0.7833333611488342,0.7833333611488342,0.0,0.7832356688688171,0.7832356688688171,0.0,0.11727340006166036,0.11727340006166036,0,0,0,0,0.5,1.0,geometric,True,0.0,alpha_weight,alpha=0.5
synthetic,provenance_bias_coverage,none,46,0.5,420,210,0.8277778029441833,0.8444444537162781,0.8444444537162781,0.0,0.8435674605804979,0.8435674605804979,0.0,0.18795901222361458,0.18795901222361458,0,0,0,0,0.5,1.0,geometric,True,0.0,alpha_weight,alpha=0.5
synthetic,provenance_bias_coverage,none,42,0.5,420,210,0.8333333134651184,0.8111110925674438,0.8111110925674438,0.0,0.8061548021500666,0.8061548021500666,0.0,0.1255518741077847,0.1255518741077847,0,0,0,0,0.75,1.0,geometric,True,0.0,alpha_weight,alpha=0.75
synthetic,provenance_bias_coverage,none,43,0.5,420,210,0.8333333134651184,0.7888888716697693,0.7888888716697693,0.0,0.787244358712297,0.787244358712297,0.0,0.09176848845349418,0.09176848845349418,0,0,0,0,0.75,1.0,geometric,True,0.0,alpha_weight,alpha=0.75
synthetic,provenance_bias_coverage,none,44,0.5,420,210,0.9111111164093018,0.894444465637207,0.894444465637207,0.0,0.8930656221287295,0.8930656221287295,0.0,0.19937624865108064,0.19937624865108064,0,0,0,0,0.75,1.0,geometric,True,0.0,alpha_weight,alpha=0.75
